checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay_status,delay_slices
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,-44.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,-244.0,no_rented_before,,in advance,In advance < 30 mins
connect,ended,337.0,no_rented_before,,delayed,Delay > 4 hours
connect,ended,39.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,56.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,31.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,-23.0,no_rented_before,,in advance,In advance < 15 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,233.0,no_rented_before,,delayed,Delay <= 4 hours
connect,ended,50.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,108.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,56.0,no_rented_before,,delayed,Delay <= 1 hour
mobile,ended,-2.0,no_rented_before,,in advance,Delay <= 10 mins
connect,ended,74.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,-31.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,7.0,no_rented_before,,delayed,Delay <= 10 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,302.0,no_rented_before,,delayed,Delay > 4 hours
connect,ended,-98.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,93.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,20.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,,no_rented_before,,in time,Delay > 4 hours
connect,ended,-467.0,no_rented_before,,in advance,In advance < 30 mins
connect,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,20.0,no_rented_before,,delayed,10 <= Delay <= 30 mins
mobile,ended,69.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,ended,-9.0,no_rented_before,,in advance,Delay <= 10 mins
mobile,ended,-80.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,-44.0,no_rented_before,,in advance,In advance < 30 mins
mobile,ended,163.0,no_rented_before,,delayed,Delay <= 4 hours
mobile,ended,-2.0,no_rented_before,,in advance,Delay <= 10 mins
connect,canceled,,rented_before,630.0,in time,Delay > 4 hours
mobile,ended,10.0,no_rented_before,,delayed,Delay <= 10 mins
mobile,ended,-52.0,no_rented_before,,in advance,In advance < 30 mins
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
mobile,ended,16.0,rented_before,660.0,delayed,10 <= Delay <= 30 mins
mobile,ended,92.0,no_rented_before,,delayed,Delay <= 2 hours
mobile,canceled,,no_rented_before,,in time,Delay > 4 hours
