checkin_type,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes
connect,-256.0,rented_before,30.0
mobile,20.0,no_rented_before,
mobile,72.0,no_rented_before,
mobile,3.0,no_rented_before,
mobile,102.0,no_rented_before,
connect,-126.0,no_rented_before,
mobile,-5.0,no_rented_before,
connect,27.0,no_rented_before,
mobile,2.0,no_rented_before,
mobile,89.0,no_rented_before,
connect,-16.0,rented_before,90.0
mobile,18.0,rented_before,60.0
mobile,44.0,rented_before,0.0
mobile,21.0,no_rented_before,
mobile,-3.0,no_rented_before,
mobile,-78.0,no_rented_before,
mobile,52.0,no_rented_before,
mobile,-14.0,no_rented_before,
mobile,-41.0,no_rented_before,
mobile,84.0,no_rented_before,
mobile,-18.0,no_rented_before,
mobile,65.0,no_rented_before,
mobile,10.0,no_rented_before,
mobile,-14.0,no_rented_before,
mobile,-21.0,no_rented_before,
mobile,-40.0,no_rented_before,
mobile,-104.0,no_rented_before,
connect,-3.0,rented_before,30.0
connect,173.0,no_rented_before,
connect,-54.0,rented_before,360.0
connect,7.0,rented_before,540.0
mobile,108.0,no_rented_before,
mobile,-38.0,no_rented_before,
mobile,-208.0,no_rented_before,
mobile,-35.0,no_rented_before,
mobile,73.0,no_rented_before,
connect,73.0,no_rented_before,
mobile,129.0,no_rented_before,
connect,-709.0,no_rented_before,
mobile,-30.0,no_rented_before,
mobile,15.0,no_rented_before,
mobile,30.0,no_rented_before,
mobile,-14.0,no_rented_before,
mobile,-444.0,no_rented_before,
mobile,33.0,no_rented_before,
connect,-83.0,no_rented_before,
connect,-432.0,no_rented_before,
mobile,-16.0,no_rented_before,
connect,25.0,rented_before,60.0
connect,27.0,no_rented_before,
mobile,-47.0,no_rented_before,
mobile,99.0,rented_before,660.0
mobile,4.0,no_rented_before,
mobile,90.0,no_rented_before,
mobile,20.0,rented_before,180.0
mobile,10.0,no_rented_before,
mobile,69.0,rented_before,420.0
mobile,335.0,no_rented_before,
mobile,-20.0,no_rented_before,
mobile,403.0,no_rented_before,
mobile,1.0,no_rented_before,
connect,-167.0,no_rented_before,
mobile,136.0,no_rented_before,
mobile,62.0,no_rented_before,
mobile,-55.0,no_rented_before,
mobile,-100.0,no_rented_before,
mobile,-80.0,no_rented_before,
mobile,41.0,no_rented_before,
mobile,45.0,no_rented_before,
mobile,436.0,no_rented_before,
mobile,-43.0,no_rented_before,
connect,-155.0,no_rented_before,
mobile,-3.0,no_rented_before,
mobile,42.0,no_rented_before,
connect,-1.0,no_rented_before,
mobile,-10.0,no_rented_before,
mobile,15.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,181.0,no_rented_before,
mobile,14.0,no_rented_before,
mobile,7.0,no_rented_before,
mobile,-10.0,no_rented_before,
mobile,-52.0,no_rented_before,
mobile,-34.0,no_rented_before,
connect,162.0,no_rented_before,
mobile,946.0,no_rented_before,
mobile,-12.0,no_rented_before,
connect,-76.0,no_rented_before,
mobile,1.0,rented_before,390.0
mobile,-20.0,no_rented_before,
mobile,-17.0,no_rented_before,
connect,-154.0,no_rented_before,
mobile,-53.0,no_rented_before,
mobile,300.0,no_rented_before,
mobile,-25.0,no_rented_before,
mobile,-15.0,rented_before,120.0
connect,9.0,no_rented_before,
mobile,22.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,106.0,no_rented_before,
mobile,3.0,no_rented_before,
mobile,10.0,rented_before,360.0
mobile,-169.0,no_rented_before,
mobile,-67.0,no_rented_before,
mobile,-101.0,no_rented_before,
mobile,14.0,no_rented_before,
mobile,-19.0,no_rented_before,
mobile,0.0,no_rented_before,
mobile,9.0,no_rented_before,
mobile,1110.0,no_rented_before,
mobile,-54.0,no_rented_before,
connect,0.0,no_rented_before,
mobile,-138.0,no_rented_before,
mobile,38.0,no_rented_before,
mobile,6.0,no_rented_before,
connect,82.0,no_rented_before,
mobile,-10.0,no_rented_before,
mobile,-16.0,no_rented_before,
mobile,107.0,no_rented_before,
mobile,49.0,no_rented_before,
mobile,32.0,no_rented_before,
mobile,142.0,no_rented_before,
mobile,44.0,no_rented_before,
mobile,48.0,no_rented_before,
mobile,-97.0,no_rented_before,
connect,58.0,no_rented_before,
mobile,25.0,no_rented_before,
connect,-651.0,rented_before,570.0
mobile,66.0,no_rented_before,
mobile,243.0,no_rented_before,
connect,-73.0,no_rented_before,
mobile,16.0,no_rented_before,
mobile,349.0,no_rented_before,
connect,-44.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,27.0,rented_before,150.0
mobile,41.0,no_rented_before,
connect,-425.0,rented_before,240.0
mobile,-35.0,no_rented_before,
connect,-125.0,no_rented_before,
mobile,59.0,no_rented_before,
mobile,100.0,no_rented_before,
connect,-353.0,no_rented_before,
mobile,-29.0,no_rented_before,
mobile,22.0,no_rented_before,
connect,101.0,rented_before,0.0
connect,-90.0,no_rented_before,
mobile,21.0,no_rented_before,
mobile,30.0,no_rented_before,
mobile,58.0,no_rented_before,
mobile,-12.0,no_rented_before,
mobile,43.0,rented_before,360.0
connect,-19.0,no_rented_before,
mobile,90.0,no_rented_before,
mobile,67.0,no_rented_before,
connect,-173.0,rented_before,630.0
mobile,-685.0,no_rented_before,
mobile,76.0,no_rented_before,
connect,-55.0,rented_before,60.0
mobile,-81.0,no_rented_before,
mobile,14.0,no_rented_before,
connect,-17.0,rented_before,120.0
connect,-90.0,no_rented_before,
mobile,21.0,no_rented_before,
mobile,12.0,no_rented_before,
mobile,1101.0,no_rented_before,
mobile,-9.0,no_rented_before,
mobile,-1.0,no_rented_before,
mobile,-15.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,-26.0,no_rented_before,
mobile,-24.0,no_rented_before,
mobile,110.0,no_rented_before,
mobile,1360.0,no_rented_before,
mobile,42.0,no_rented_before,
mobile,-238.0,no_rented_before,
mobile,89.0,no_rented_before,
connect,-22.0,no_rented_before,
mobile,694.0,no_rented_before,
connect,183.0,rented_before,510.0
connect,119.0,no_rented_before,
mobile,-70.0,no_rented_before,
mobile,22.0,no_rented_before,
mobile,42.0,no_rented_before,
connect,-73.0,no_rented_before,
mobile,-65.0,no_rented_before,
mobile,6.0,no_rented_before,
mobile,-746.0,no_rented_before,
mobile,9.0,no_rented_before,
mobile,-5.0,no_rented_before,
mobile,-191.0,no_rented_before,
connect,-60.0,rented_before,210.0
mobile,6.0,rented_before,0.0
connect,-53.0,rented_before,480.0
connect,-104.0,no_rented_before,
mobile,1490.0,no_rented_before,
mobile,16.0,no_rented_before,
mobile,7.0,no_rented_before,
connect,28.0,no_rented_before,
mobile,14.0,no_rented_before,
mobile,-10.0,no_rented_before,
mobile,-1.0,no_rented_before,
connect,-11.0,no_rented_before,
mobile,248.0,no_rented_before,
connect,-157.0,no_rented_before,
mobile,-38.0,no_rented_before,
mobile,-95.0,no_rented_before,
connect,203.0,no_rented_before,
mobile,-33.0,no_rented_before,
mobile,-36.0,no_rented_before,
mobile,33.0,no_rented_before,
mobile,33.0,no_rented_before,
connect,26.0,no_rented_before,
mobile,4.0,rented_before,120.0
connect,26.0,no_rented_before,
mobile,-25.0,no_rented_before,
connect,-174.0,no_rented_before,
mobile,110.0,rented_before,0.0
mobile,-129.0,rented_before,720.0
connect,62.0,no_rented_before,
mobile,-2.0,no_rented_before,
connect,-60.0,no_rented_before,
mobile,159.0,no_rented_before,
mobile,-67.0,no_rented_before,
mobile,98.0,no_rented_before,
mobile,-51.0,no_rented_before,
mobile,-105.0,no_rented_before,
mobile,-58.0,no_rented_before,
mobile,-14.0,no_rented_before,
mobile,-98.0,no_rented_before,
connect,-8.0,no_rented_before,
mobile,-234.0,no_rented_before,
mobile,379.0,no_rented_before,
connect,-24.0,no_rented_before,
mobile,69.0,no_rented_before,
mobile,-17.0,no_rented_before,
mobile,-7.0,no_rented_before,
mobile,610.0,no_rented_before,
mobile,3.0,no_rented_before,
mobile,102.0,no_rented_before,
mobile,-179.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,81.0,no_rented_before,
mobile,-1.0,no_rented_before,
mobile,3.0,no_rented_before,
mobile,747.0,no_rented_before,
mobile,8.0,no_rented_before,
mobile,614.0,no_rented_before,
mobile,4.0,no_rented_before,
mobile,28.0,no_rented_before,
mobile,5.0,no_rented_before,
connect,69.0,no_rented_before,
connect,3.0,no_rented_before,
connect,-223.0,no_rented_before,
connect,-87.0,no_rented_before,
mobile,870.0,no_rented_before,
connect,-120.0,no_rented_before,
connect,113.0,rented_before,540.0
mobile,47.0,no_rented_before,
mobile,78.0,no_rented_before,
mobile,-10.0,no_rented_before,
mobile,147.0,no_rented_before,
mobile,458.0,no_rented_before,
mobile,166.0,no_rented_before,
mobile,160.0,no_rented_before,
mobile,-2791.0,no_rented_before,
mobile,20.0,no_rented_before,
mobile,12.0,no_rented_before,
mobile,0.0,no_rented_before,
mobile,15.0,no_rented_before,
mobile,-761.0,no_rented_before,
mobile,21.0,no_rented_before,
mobile,-117.0,no_rented_before,
mobile,-2.0,no_rented_before,
mobile,1357.0,no_rented_before,
connect,7.0,no_rented_before,
connect,3.0,no_rented_before,
connect,-125.0,no_rented_before,
mobile,35.0,no_rented_before,
mobile,31.0,rented_before,180.0
mobile,-159.0,no_rented_before,
mobile,32.0,no_rented_before,
mobile,130.0,no_rented_before,
mobile,-25.0,no_rented_before,
mobile,12.0,no_rented_before,
mobile,14.0,no_rented_before,
connect,-94.0,no_rented_before,
mobile,224.0,no_rented_before,
mobile,-6.0,no_rented_before,
mobile,57.0,no_rented_before,
mobile,628.0,no_rented_before,
mobile,661.0,no_rented_before,
mobile,113.0,no_rented_before,
mobile,69.0,no_rented_before,
connect,-166.0,rented_before,0.0
mobile,-26.0,no_rented_before,
connect,-37.0,no_rented_before,
mobile,67.0,no_rented_before,
mobile,19.0,no_rented_before,
mobile,-2.0,no_rented_before,
mobile,18.0,no_rented_before,
connect,21.0,no_rented_before,
mobile,-477.0,no_rented_before,
mobile,74.0,no_rented_before,
connect,-180.0,no_rented_before,
mobile,-18.0,no_rented_before,
mobile,15.0,no_rented_before,
connect,35.0,no_rented_before,
mobile,4.0,no_rented_before,
connect,54.0,no_rented_before,
mobile,61.0,no_rented_before,
mobile,147.0,no_rented_before,
mobile,25.0,rented_before,90.0
connect,-117.0,no_rented_before,
mobile,117.0,no_rented_before,
mobile,170.0,no_rented_before,
mobile,-199.0,no_rented_before,
mobile,64.0,no_rented_before,
mobile,-227.0,no_rented_before,
connect,23.0,no_rented_before,
mobile,20.0,no_rented_before,
mobile,5.0,no_rented_before,
connect,28.0,no_rented_before,
mobile,-25.0,no_rented_before,
mobile,-29.0,no_rented_before,
mobile,-230.0,no_rented_before,
mobile,-113.0,no_rented_before,
mobile,-6.0,no_rented_before,
mobile,-1.0,no_rented_before,
connect,-249.0,no_rented_before,
mobile,17.0,no_rented_before,
mobile,-31.0,no_rented_before,
connect,51.0,no_rented_before,
mobile,-4.0,no_rented_before,
mobile,88.0,no_rented_before,
mobile,146.0,no_rented_before,
mobile,-50.0,no_rented_before,
mobile,2.0,no_rented_before,
mobile,179.0,no_rented_before,
connect,108.0,no_rented_before,
mobile,13.0,no_rented_before,
mobile,-33.0,no_rented_before,
mobile,19.0,no_rented_before,
mobile,41.0,no_rented_before,
connect,28.0,no_rented_before,
mobile,35.0,no_rented_before,
