checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,previous_ended_rental_id_category,delay_status,delay_slices
mobile,ended,233.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
connect,ended,50.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,108.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,56.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,-2.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,74.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,-31.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,7.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,302.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
connect,ended,-98.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,93.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,-467.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,69.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,-9.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-80.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-44.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,163.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-2.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,canceled,,546578.0,630.0,rented_before,,No delay
mobile,ended,10.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-52.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,16.0,548486.0,660.0,rented_before,delayed,10 <= Delay <= 30 mins
mobile,ended,92.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,7.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,-55.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,30.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,261.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
connect,ended,84.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
connect,ended,85.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,10.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-113.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,423.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,500.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
connect,ended,-5.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,1.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
connect,ended,-548.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,266.0,535868.0,30.0,rented_before,delayed,Delay > 4 hours
mobile,ended,145.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
connect,ended,8.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-8.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,74.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,126.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,15.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-8.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,-692.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,195.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-133.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-22.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
mobile,ended,201.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,21.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,-307.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-40.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,225.0,553683.0,60.0,rented_before,delayed,2 hours < Delay <= 4 hours
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-37.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,canceled,,,,no_rented_before or delay > 12 hours,,No delay
mobile,ended,-12.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-11.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,-26.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 15 mins
connect,ended,-49.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,381.0,,,no_rented_before or delay > 12 hours,delayed,Delay > 4 hours
connect,ended,22.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,144.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,69.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
mobile,ended,19.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
mobile,ended,10.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,-5.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
connect,ended,-127.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-158.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
connect,ended,54.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,3.0,,,no_rented_before or delay > 12 hours,delayed,Delay <= 10 mins
mobile,ended,201.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,167.0,,,no_rented_before or delay > 12 hours,delayed,2 hours < Delay <= 4 hours
mobile,ended,-720.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-136.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,-158.0,,,no_rented_before or delay > 12 hours,in advance,In advance < 30 mins
mobile,ended,20.0,,,no_rented_before or delay > 12 hours,delayed,10 <= Delay <= 30 mins
connect,ended,-7.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-15.0,,,no_rented_before or delay > 12 hours,in advance,Delay <= 10 mins
mobile,ended,-127.0,545782.0,60.0,rented_before,in advance,In advance < 30 mins
mobile,ended,82.0,,,no_rented_before or delay > 12 hours,delayed,1 hour < Delay <= 2 hours
connect,ended,37.0,,,no_rented_before or delay > 12 hours,delayed,30 mins < Delay <= 1 hour
mobile,ended,0.0,,,no_rented_before or delay > 12 hours,in time,No delay
mobile,ended,-720.0,545855.0,120.0,rented_before,in advance,In advance < 30 mins
